code,description,source,observations
ES11,Galicia,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
ES12,Asturias,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
ES13,Cantabria,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
ES21,País Vasco,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
ES22,Navarra,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
ES23,La Rioja,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
ES24,Aragón,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
ES30,Madrid,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
ES41,Castilla-León,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
ES42,Castilla-La Mancha,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
ES43,Extremadura,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
ES51,Cataluña,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
ES52,Valencia,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
ES53,Baleares,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
ES61,Andalucia,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
ES62,Murcia,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
ES63,Ceuta,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
ES64,Melilla,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
ES70,Canarias,https://en.wikipedia.org/wiki/NUTS_statistical_regions_of_Spain,
