encoding;code;code_clean;description;arrythc_bl
ICD-10;I44.0;I440;Atrioventricular block, first degree;1
ICD-10;I44.1;I441;Atrioventricular block, second degree;1
ICD-10;I44.2;I442;Atrioventricular block, complete;1
ICD-10;I44.3;I443;Other and unspecified atrioventricular block;1
ICD-10;I44.4;I444;Left anterior fascicular block;1
ICD-10;I44.5;I445;Left posterior fascicular block;1
ICD-10;I44.6;I446;Other and unspecified fascicular block;1
ICD-10;I47.0;I470;Re-entry ventricular arrhythmia;1
ICD-10;I47.1;I471;Supraventricular tachycardia;1
ICD-10;I47.2;I472;Ventricular tachycardia;1
ICD-10;I47.20;I4720;Ventricular tachycardia, unspecified;1
ICD-10;I47.21;I4721;Torsades de pointes;1
ICD-10;I47.29;I4729;Other ventricular tachycardia;1
ICD-10;I47.9;I479;Paroxysmal tachycardia, unspecified;1
ICD-10;I48.3;I483;Typical atrial flutter;1
ICD-10;I48.4;I484;Atypical atrial flutter;1
ICD-10;I48.5;I485;Typical atrial fibrillation;1
ICD-10;I48.6;I486;Atypical atrial fibrillation;1
ICD-10;I48.7;I487;Other atrial fibrillation and flutter;1
ICD-10;I48.9;I489;Atrial fibrillation and flutter, unspecified;1
ICD-10;I49.0;I490;Ventricular fibrillation and flutter;1
ICD-10;I49.1;I491;Atrial premature depolarization;1
ICD-10;I49.20;I4920;Ventricular premature depolarization, unspecified;1
ICD-10;I49.21;I4921;Ventricular premature beats;1
ICD-10;I49.3;I493;Other premature depolarization;1
ICD-10;I49.40;I4940;Other specified cardiac arrhythmias, unspecified;1
ICD-10;I49.41;I4941;Long QT syndrome;1
ICD-10;I49.5;I495;Sick sinus syndrome;1
ICD-10;I49.8;I498;Other specified cardiac arrhythmias;1
ICD-10;I49.9;I499;Cardiac arrhythmia, unspecified;1
ICD-10;I49.2;I492;Junctional premature depolarization;1
ICD-10;I44;I44;Atrioventricular and left bundle-branch block;1
ICD-10;I44.30;I4430;Unspecified atrioventricular block;1
ICD-10;I44.39;I4439;Other atrioventricular block;1
ICD-10;I44.60;I4460;Unspecified fascicular block;1
ICD-10;I44.69;I4469;Other fascicular block;1
ICD-10;I47;I47;Paroxysmal tachycardia;1
ICD-10;I48;I48;Atrial fibrillation and flutter;1
ICD-10;I48.0;I480;Paroxysmal atrial fibrillation;1
ICD-10;I48.91;I4891;Unspecified atrial fibrillation;1
ICD-10;I48.92;I4892;Unspecified atrial flutter;1
ICD-10;I49;I49;Other cardiac arrhythmias;1
ICD-10;I49.01;I4901;Ventricular fibrillation;1
ICD-10;I49.02;I4902;Ventricular flutter;1
ICD-10;I49.49;I4949;Other premature depolarization;1
ICD-10;I49.4;I494;Other and unspecified premature depolarization;1
